Parameter,UB,LB
gNaTs2.tbar.NaTs2.t.somSTD.csv,6,-1
gCa.LVAstbar.Ca.LVAst.axnSTD.csv,6,-1
gNaTs2.tbar.NaTs2.t.apiSTD.csv,6,-1
cm.axnSTD.csv,6,-1
gCa.LVAstbar.Ca.LVAst.somSTD.csv,6,-1
cm.somSTD.csv,6,-1
g.pas.axnSTD.csv,6,-1
gNap.Et2bar.Nap.Et2.axnSTD.csv,6,-1
gK.Tstbar.K.Tst.axnSTD.csv,4,-1
gSKv3.1bar.SKv3.1.somSTD.csv,1,-1
gImbar.Im.apiSTD.csv,4,-1
gSK.E2bar.SK.E2.axnSTD.csv,6,-1
gIhbar.Ih.denSTD.csv,5,-1
gCa.HVAbar.Ca.HVA.axnSTD.csv,6,-1
g.pas.somSTD.csv,5,-1
gSKv3.1bar.SKv3.1.apiSTD.csv,6,-1
gNaTa.tbar.NaTa.t.axnSTD.csv,6,-1
gK.Pstbar.K.Pst.axnSTD.csv,1,-1
