,New Base,Old Base
0,0.06983266017311288,0.02569
1,0.0655581038868492,0.039763
2,0.0016487212707001282,0.001
3,0.0005911244879144521,8e-05
4,5.4222403226214,3.288755
5,0.5916395756094159,0.029456
6,0.003007213366196842,0.000671
7,0.4408951256726478,0.098377
8,0.001859304770665987,0.000684
9,2.601933929637341,0.957198
10,0.00014059875846231368,7e-06
11,8.154845485377136e-05,3e-05
12,2.718281828459045,1.0
13,0.1982415754676897,0.072929
14,0.976885,0.976885
15,0.025061605281330456,0.005592
16,4.9461638121003845e-05,3e-05
17,1.0,1.0
18,-75.0,-75.0
