Parameters,Values,Unit Ranges,Unit Value,Ranges
gSK_E2bar_SK_E2.somatic,0.02023934993,"[-1,1],","[0,1],","(-100,-50),"
gK_Tstbar_K_Tst.somatic,0.01315314265,"[-1,1],","[0,1],","(-100,-50),"
gamma_CaDynamics_DC0.axonal,0.01275232113,"[-1,1],","[0,1],","(-100,-50),"
gamma_CaDynamics_DC0.apical,0.04517010602,"[-1,1],","[0,1],","(-100,-50),"
gCa_LVAstbar_Ca_LVAst.somatic,0.0002153764063,"[-1,1],","[0,1],","(-100,-50),"
gNaTgbar_NaTg.apical,0.08101362039,"[-1,1],","[0,1],","(-100,-50),"
gNaTgbar_NaTg.axonal,0.3355610218,"[-1,1],","[0,1],","(-100,-50),"
gCa_HVAbar_Ca_HVA2.apical,3.46E-06,"[-1,1],","[0,1],","(-100,-50),"
gCa_LVAstbar_Ca_LVAst.basal,0.0007435299946,"[-1,1],","[0,1],","(-100,-50),"
gK_Tstbar_K_Tst.axonal,0.06402749081,"[-1,1],","[0,1],","(-100,-50),"
gCa_LVAstbar_Ca_LVAst.apical,0.0009854947364,"[-1,1],","[0,1],","(-100,-50),"
gCa_LVAstbar_Ca_LVAst.axonal,0.0009394854483,"[-1,1],","[0,1],","(-100,-50),"
gSK_E2bar_SK_E2.axonal,0.09680866067,"[-1,1],","[0,1],","(-100,-50),"
gNaTgbar_NaTg.somatic,0.2899245644,"[-1,1],","[0,1],","(-100,-50),"
gamma_CaDynamics_DC0.somatic,0.02209106578,"[-1,1],","[0,1],","(-100,-50),"
gSKv3_1bar_SKv3_1.somatic,0.3882917754,"[-1,1],","[0,1],","(-100,-50),"
gamma_CaDynamics_DC0.basal,0.04883429217,"[-1,1],","[0,1],","(-100,-50),"
g_pas.all,4.71E-05,"[-1,1],","[0,1],","(-100,-50),"
gK_Pstbar_K_Pst.somatic,0.1003192289,"[-1,1],","[0,1],","(-100,-50),"
gCa_HVAbar_Ca_HVA2.somatic,0.0008353459574,"[-1,1],","[0,1],","(-100,-50),"
gCa_HVAbar_Ca_HVA2.basal,7.45E-05,"[-1,1],","[0,1],","(-100,-50),"
gK_Pstbar_K_Pst.axonal,0.9980114075,"[-1,1],","[0,1],","(-100,-50),"
gIhbar_Ih.basal,2.61E-05,"[-1,1],","[0,1],","(-100,-50),"
gCa_HVAbar_Ca_HVA2.axonal,0.0005097148014,"[-1,1],","[0,1],","(-100,-50),"
decay_CaDynamics_DC0.axonal,285.4612832,"[-1,1],","[0,1],","(-100,-50),"
e_pas.all,-79.60374956,"[-1,1],","[0,1],","(-100,-50),"
gNap_Et2bar_Nap_Et2.axonal,0.005054283797,"[-1,1],","[0,1],","(-100,-50),"
gIhbar_Ih.somatic,2.61E-05,"[-1,1],","[0,1],","(-100,-50),"
gIhbar_Ih.apical,2.61E-05,"[-1,1],","[0,1],","(-100,-50),"
decay_CaDynamics_DC0.somatic,282.0966342,"[-1,1],","[0,1],","(-100,-50),"
gSKv3_1bar_SKv3_1.apical,0.001817828605,"[-1,1],","[0,1],","(-100,-50),"
gSKv3_1bar_SKv3_1.axonal,0.2196590457,"[-1,1],","[0,1],","(-100,-50),"
